ID,Event,DIM,Date,Remark,R,T,B,Protocols,Technician,ET Donor Dam,ET Donor Reg
980,SOLD       ,487,3/3/2026,CAR6            ,  ,   ,  ,                ,                    ,,
1152,OK         ,134,3/25/2026,GNFRL           ,  ,   ,  ,                ,                    ,,
1170,OK         ,55,3/11/2026,WPGCL           ,  ,   ,  ,                ,                    ,,
1170,BRED       ,58,3/14/2026,3H61940         ,- ,0,D ,                ,Tech# 0              ,,
1205,SOLD       ,23,3/16/2026,CAR6            ,  ,   ,  ,                ,                    ,,
1259,FRESH      ,0,3/6/2026,                ,  ,   ,  ,                ,                    ,,
1273,BRED       ,86,3/2/2026,3H61940         ,- ,0,C ,                ,Tech# 0              ,,
1273,SOLD       ,100,3/16/2026,CAR6            ,  ,   ,  ,                ,                    ,,
1287,OK         ,52,3/11/2026,FRL             ,  ,   ,  ,                ,                    ,,
1287,OK         ,66,3/25/2026,GNSFRFL         ,  ,   ,  ,                ,                    ,,
1288,FRESH      ,0,3/3/2026,                ,  ,   ,  ,                ,                    ,,
1289,FRESH      ,0,3/11/2026,                ,  ,   ,  ,                ,                    ,,
1290,BRED       ,119,3/7/2026,HK3/01/4/01/0           ,R ,0,A ,                ,Tech# 0              ,,
1290,BRED       ,120,3/8/2026,ETIVF340        ,- ,0,A ,                ,Tech# 0              ,,
1290,OK         ,123,3/11/2026,NS              ,  ,   ,  ,                ,                    ,,
1294,FRESH      ,0,3/23/2026,                ,  ,   ,  ,                ,                    ,,
1301,OK         ,47,3/11/2026,GNFL            ,  ,   ,  ,                ,                    ,,
1301,OK         ,61,3/25/2026,GNFRL           ,  ,   ,  ,                ,                    ,,
1307,SOLD       ,43,3/10/2026,CAR3            ,  ,   ,  ,                ,                    ,,
1330,BRED       ,165,3/2/2026,4H61098         ,- ,0,A ,                ,Tech# 0              ,,
1337,OK         ,98,3/11/2026,GNFSCR          ,  ,   ,  ,                ,                    ,,
1337,OK         ,112,3/25/2026,GNCYR           ,  ,   ,  ,                ,                    ,,
1338,FRESH      ,0,3/3/2026,                ,  ,   ,  ,                ,                    ,,
1349,OK         ,69,3/11/2026,WPGCRFL         ,  ,   ,  ,                ,                    ,,
1349,BRED       ,72,3/14/2026,3H61940         ,- ,0,D ,                ,Tech# 0              ,,
1350,RECK       ,112,3/25/2026,TWINS?          ,  ,   ,  ,                ,                    ,,
1354,FRESH      ,0,3/11/2026,                ,  ,   ,  ,                ,                    ,,
1360,OK         ,52,3/11/2026,NS              ,  ,   ,  ,                ,                    ,,
1360,OK         ,66,3/25/2026,WPGFCR          ,  ,   ,  ,                ,                    ,,
1364,OK         ,76,3/11/2026,NSDNB           ,  ,   ,  ,                ,                    ,,
1364,DNB        ,76,3/11/2026,                ,  ,   ,  ,                ,                    ,,
1364,SOLD       ,89,3/24/2026,CAR6            ,  ,   ,  ,                ,                    ,,
1368,FRESH      ,0,3/5/2026,                ,  ,   ,  ,                ,                    ,,
1375,SOLD       ,631,3/23/2026,CAR2            ,  ,   ,  ,                ,                    ,,
1402,OK         ,485,3/11/2026,WPGFCL          ,  ,   ,  ,                ,                    ,,
1402,BRED       ,488,3/14/2026,3H61940X        ,- ,0,D ,                ,Tech# 0              ,,
1409,OK         ,448,3/11/2026,WPGCRFL         ,  ,   ,  ,                ,                    ,,
1409,BRED       ,451,3/14/2026,3H61940X        ,- ,0,D ,                ,Tech# 0              ,,
1413,OK         ,434,3/11/2026,WPGFCR          ,  ,   ,  ,                ,                    ,,
1413,BRED       ,437,3/14/2026,3H61940X        ,- ,0,D ,                ,Tech# 0              ,,
1417,OK         ,416,3/11/2026,GNFL            ,  ,   ,  ,                ,                    ,,
1417,OK         ,430,3/25/2026,WPGCL           ,  ,   ,  ,                ,                    ,,
1424,OK         ,390,3/11/2026,WPGFCL          ,  ,   ,  ,                ,                    ,,
1424,BRED       ,393,3/14/2026,3H61940X        ,- ,0,D ,                ,Tech# 0              ,,
1426,OK         ,377,3/11/2026,FR              ,  ,   ,  ,                ,                    ,,
1426,OK         ,391,3/25/2026,E2NS            ,  ,   ,  ,                ,                    ,,
1427,OK         ,376,3/11/2026,FR              ,  ,   ,  ,                ,                    ,,
1427,OK         ,390,3/25/2026,AIFR            ,  ,   ,  ,                ,                    ,,
1432,OK         ,372,3/25/2026,FR              ,  ,   ,  ,                ,                    ,,
1433,OK         ,369,3/25/2026,NS              ,  ,   ,  ,                ,                    ,,
